strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;iNumThreads;numTasks_UP;dbTasksDensity_UP;numSolutionsFound_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbServiceTime_UP;dbWaitingTime_UP;dbTransportTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dbTasksDensity_P;numSolutionsFound_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbServiceTime_P;dbWaitingTime_P;dbTransportTime_P;dbTotalCosts_P;dbTraveledDistance_P;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
11/05/2018 19.55.43;11/05/2018;output/Batch10_100_d01/DS_100_10_30.xml;5e0a5bcc;10;31,682787940234906;31,811032391635464;24;100;0,09921991384581866;2;6,719;84;16;10;0,0;5282,511827218221;4788,0;39,44947414636442;455,0623530718568;1183,1621179868298;455,06235307185756;98;0,09723551556890228;2;6,256;84;14;10;0,0;5293,49080322886;4888,0;38,086855169178136;367,4039480596825;881,7694753432378;367,4039480596824;-0,4630000000000001;-0,06890906384878703;0,0;0,0;0,7914285714285715;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.56.09;11/05/2018;output/Batch10_100_d01/DS_100_10_31.xml;46bb4aac;10;31,37063786932287;31,97392307186214;24;100;0,09969668659426675;2;6,851;89;11;10;0,0;5345,612017325182;4945,0;0,0;400,6120173251827;841,2852363828827;400,6120173251822;95;0,09471185226455342;2;5,785;87;8;10;0,0;5354,83955027917;4872,0;35,62814461896312;447,21140566020665;804,9805301883713;447,21140566020625;-1,0659999999999998;-0,15559772296015179;-2,0;-0,02247191011235955;0,8496842105263158;0,88;88,0;88,0;12,0;12,0
11/05/2018 19.56.34;11/05/2018;output/Batch10_100_d01/DS_100_10_32.xml;390c05ca;10;31,93957993123384;30,871805249196946;24;100;0,10141653634580203;2;6,829;86;14;10;0,0;5332,235378982309;4919,0;21,459736104547517;391,77564287776147;940,2615429066261;391,77564287776084;99;0,10040237098234402;2;6,747;86;13;10;0,0;5422,0959855092515;4952,0;50,47804309622654;419,61794241302584;965,1212675499589;419,6179424130256;-0,08199999999999985;-0,01200761458485867;0,0;0,0;0,7212121212121212;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.57.01;11/05/2018;output/Batch10_100_d01/DS_100_10_33.xml;bb8ac657;10;31,919423865567943;31,53874859918302;24;100;0,09933458890643856;2;6,889;78;22;10;0,0;5085,541574815087;4715,0;22,29985968948938;348,241715125597;1114,3734884019123;348,2417151255976;95;0,09436785946111663;2;6,157;78;17;10;0,0;5140,005858126287;4757,0;0,0;383,0058581262865;1034,1158169409737;383,0058581262865;-0,7320000000000002;-0,10625635070402092;0,0;0,0;0,7037894736842105;0,77;77,0;77,0;23,0;23,0
11/05/2018 19.57.26;11/05/2018;output/Batch10_100_d01/DS_100_10_34.xml;80e35f1c;10;30,63919292810851;31,74162567242855;24;100;0,102823767608122;2;6,742;91;9;10;0,0;5294,378338300757;4917,0;10,78044614870214;366,59789215205507;696,5359950889037;366,59789215205456;96;0,09871081690379711;2;5,897;91;5;10;0,0;5301,928464561086;4922,0;35,41146157568903;344,5170029853978;516,775504478096;344,5170029853973;-0,8449999999999998;-0,1253337288638386;0,0;0,0;0,8246875;0,87;87,0;87,0;13,0;13,0
11/05/2018 19.57.51;11/05/2018;output/Batch10_100_d01/DS_100_10_35.xml;9450db88;10;31,90892124271034;31,84039012753041;24;100;0,09842592333091903;2;6,571;84;16;10;0,0;5225,030527599713;4763,0;9,589176610462118;452,44135098925074;1176,3475125720515;452,4413509892506;95;0,09350462716437306;2;5,952;85;10;10;0,0;5209,61949992761;4796,0;2,0957681309764666;411,5237317966333;823,0474635932674;411,5237317966336;-0,6189999999999998;-0,09420179576928928;1,0;0,011904761904761904;0,8210526315789474;0,85;85,0;85,0;15,0;15,0
11/05/2018 19.58.17;11/05/2018;output/Batch10_100_d01/DS_100_10_36.xml;4f9910f8;10;31,76380818409494;31,533856166837346;24;100;0,09983673114429928;2;6,966;86;14;10;0,0;5422,902920424067;4933,0;68,9774176332802;420,92550279078705;1010,2212066978891;420,9255027907871;99;0,0988383638328563;2;6,409;85;14;10;0,0;5397,4676596636455;4951,0;102,39230752367348;344,0753521399728;825,7808451359343;344,0753521399726;-0,5570000000000004;-0,07995980476600636;-1,0;-0,011627906976744186;0,7212121212121212;0,84;84,0;84,0;16,0;16,0
11/05/2018 19.58.44;11/05/2018;output/Batch10_100_d01/DS_100_10_37.xml;79e7e338;10;31,971187901199634;31,753923594994514;24;100;0,09850172397834843;2;6,784;83;17;10;0,0;5215,069413910765;4790,0;0,0;425,06941391076407;1147,6874175590615;425,0694139107635;93;0,09160660329986405;2;5,528;84;9;10;0,0;5247,813527872212;4844,0;0,0;403,8135278722116;767,2457029572014;403,81352787221124;-1,2560000000000002;-0,1851415094339623;1,0;0,012048192771084338;0,75926267281106;0,81;81,0;81,0;19,0;19,0
11/05/2018 19.59.08;11/05/2018;output/Batch10_100_d01/DS_100_10_38.xml;b6a1a2d2;10;31,924036935171664;31,689062633710957;24;100;0,09884911888949642;2;6,717;89;11;10;0,0;5230,815131084917;4845,0;2,9688187534349026;382,84631233148116;803,9772558961096;382,84631233148076;97;0,09588364532281153;2;5,949;88;9;10;0,0;5229,064139214934;4809,0;18,5133952696375;401,550743945297;762,9464134960638;401,5507439452967;-0,7679999999999998;-0,11433675748101829;-1,0;-0,011235955056179775;0,8807560137457044;0,9;90,0;90,0;10,0;10,0
11/05/2018 19.59.34;11/05/2018;output/Batch10_100_d01/DS_100_10_39.xml;2d99e888;10;31,971430028647166;31,776809660735374;24;100;0,09843003633346047;2;6,947;81;19;10;0,0;5079,515055910017;4685,0;0,0;394,5150559100172;1144,0936621390501;394,5150559100173;97;0,09547713524345666;2;5,838;81;16;10;0,0;5078,928748634795;4654,0;12,505264086994089;412,42348454780023;1072,30105982428;412,4234845478;-1,109;-0,15963725349071542;0,0;0,0;0,7947079037800687;0,82;82,0;82,0;18,0;18,0
11/05/2018 19.59.59;11/05/2018;output/Batch10_100_d01/DS_100_10_4.xml;1c7dd28b;10;31,982639053065473;31,972268962095743;24;100;0,09779400795694375;2;7,028;85;15;10;0,0;5158,526602481992;4731,0;22,071776222269875;405,4548262597229;1013,6370656493082;405,45482625972323;97;0,09486018771823544;2;6,167;86;11;10;0,0;5207,23179528251;4802,0;8,122944589223266;397,1088506932872;833,9285864559038;397,1088506932875;-0,8609999999999998;-0,12250996015936252;1,0;0,011764705882352941;0,7914089347079039;0,85;85,0;85,0;15,0;15,0
11/05/2018 20.00.26;11/05/2018;output/Batch10_100_d01/DS_100_10_40.xml;7cb66e85;10;31,30726713347802;31,041880769944054;24;100;0,10289797180438578;2;7,18;89;11;10;0,0;5308,749736532842;4882,0;18,348759036017896;408,4009774968233;857,642052743329;408,4009774968234;99;0,10186899208634193;2;6,862;88;11;10;0,0;5258,728384215239;4850,0;44,67290852823726;364,0554756870016;764,516498942703;364,05547568700143;-0,3179999999999996;-0,044289693593314715;-1,0;-0,011235955056179775;0,791111111111111;0,88;88,0;88,0;12,0;12,0
11/05/2018 20.00.53;11/05/2018;output/Batch10_100_d01/DS_100_10_41.xml;5a7716ab;10;31,58468419645504;31,80585229542945;24;100;0,099544306040942;2;6,59;83;17;10;0,0;5347,3947286327675;4910,0;15,403193847947477;421,99153478482197;1139,3771439190189;421,9915347848218;94;0,09357164767848547;2;5,676;84;10;10;0,0;5385,039933282913;4953,0;41,29432475758853;390,74560852532426;781,4912170506482;390,74560852532403;-0,9139999999999997;-0,13869499241274655;1,0;0,012048192771084338;0,7326241134751774;0,8;80,0;80,0;20,0;20,0
11/05/2018 20.01.17;11/05/2018;output/Batch10_100_d01/DS_100_10_42.xml;4de50e95;10;31,867293555068574;31,925900237083347;24;100;0,09829052771508313;2;6,871;87;13;10;0,0;5393,211247266141;4988,0;25,106011752259747;380,1052355138819;874,2420416819272;380,1052355138814;97;0,09534181188363064;2;6,231;87;10;10;0,0;5432,470892147032;4988,0;68,45856457904779;376,0123275679834;752,0246551359669;376,0123275679834;-0,6400000000000006;-0,09314510260515217;0,0;0,0;0,9103092783505154;0,9;90,0;90,0;10,0;10,0
11/05/2018 20.01.43;11/05/2018;output/Batch10_100_d01/DS_100_10_43.xml;834d1ecc;10;31,343292476005395;31,667601699472087;24;100;0,10074887626256958;2;6,766;87;13;10;0,0;5355,870789659258;4923,0;3,032492619545337;429,8382970397116;988,6280831913365;429,8382970397115;98;0,0987338987373182;2;6,572;85;13;10;0,0;5333,416574050051;4930,0;3,9057691360660556;399,5108049139849;918,8748513021648;399,51080491398466;-0,19399999999999995;-0,02867277564292048;-2,0;-0,022988505747126436;0,8159183673469387;0,86;86,0;86,0;14,0;14,0
11/05/2018 20.02.10;11/05/2018;output/Batch10_100_d01/DS_100_10_44.xml;273b8e53;10;31,540718639167906;31,680314844160808;24;100;0,10007807121360271;2;6,835;86;14;10;0,0;5267,690837287843;4823,0;31,085340582887625;413,6054967049557;992,6531920918934;413,6054967049556;100;0,10007807121360271;2;6,713;87;13;10;0,0;5284,215820150402;4827,0;37,31897314384656;419,896847006556;965,7627481150801;419,8968470065565;-0,12199999999999989;-0,017849305047549363;1,0;0,011627906976744186;0,7569;0,87;87,0;87,0;13,0;13,0
11/05/2018 20.02.37;11/05/2018;output/Batch10_100_d01/DS_100_10_45.xml;99752385;10;31,960704042448736;31,999864057034756;24;100;0,09777673456711401;2;6,894;86;14;10;0,0;5201,821672159921;4747,0;39,171132879855634;415,65053928006506;997,5612942721557;415,65053928006483;98;0,09582119987577173;2;6,472;86;12;10;0,0;5216,884521330385;4805,0;54,23725043080282;357,6472708995829;786,8239959790812;357,64727089958234;-0,4219999999999997;-0,06121264868001156;0,0;0,0;0,7545918367346939;0,85;85,0;85,0;15,0;15,0
11/05/2018 20.03.04;11/05/2018;output/Batch10_100_d01/DS_100_10_46.xml;f689d9c6;10;31,990192378992496;31,825190571667964;24;100;0,09822276042892591;2;6,618;83;17;10;0,0;5057,612451945726;4700,0;4,65908994278027;352,953362002946;952,9740774079546;352,9533620029461;97;0,09527607761605814;2;6,291;82;15;10;0,0;5004,819889397456;4605,0;54,370687611370556;345,4492017860848;863,6230044652127;345,4492017860851;-0,32699999999999996;-0,04941069809610153;-1,0;-0,012048192771084338;0,8149828178694157;0,84;84,0;84,0;16,0;16,0
11/05/2018 20.03.30;11/05/2018;output/Batch10_100_d01/DS_100_10_47.xml;8e596db9;10;31,38270377285813;31,17316912720753;24;100;0,10221830773919813;2;6,984;81;19;10;0,0;5168,758278356749;4727,0;0,50201464021427;441,2562637165346;1279,6431647779496;441,25626371653436;97;0,09915175850702218;2;6,469;82;15;10;0,0;5186,540015892313;4750,0;26,607419894492523;409,93259599782004;1024,8314899945485;409,9325959978194;-0,5149999999999997;-0,07373997709049251;1,0;0,012345679012345678;0,8047422680412372;0,83;83,0;83,0;17,0;17,0
11/05/2018 20.03.57;11/05/2018;output/Batch10_100_d01/DS_100_10_48.xml;d8dfcdc7;10;31,82578991219637;31,06206897221162;24;100;0,10115571605831855;2;6,922;85;15;10;0,0;5287,582566273063;4832,0;12,469320048000895;443,1132462250624;1107,7831155626586;443,1132462250634;96;0,09710948741598581;2;6,14;85;11;10;0,0;5219,196313502167;4822,0;40,23581930796752;356,96049419420024;749,6170378078225;356,96049419420115;-0,782;-0,11297312915342388;0,0;0,0;0,85625;0,87;87,0;87,0;13,0;13,0
11/05/2018 20.04.23;11/05/2018;output/Batch10_100_d01/DS_100_10_49.xml;be267dba;10;31,93241862463977;31,843562760042072;24;100;0,09834369774832322;2;6,799;82;18;10;0,0;5132,033422759059;4714,0;32,931652707445664;385,101770051614;1078,2849561445166;385,1017700516131;95;0,09342651286090706;2;5,88;82;13;10;0,0;5130,440582655235;4686,0;65,83140684929498;378,6091758059402;870,8011043536608;378,60917580593946;-0,9190000000000005;-0,1351669363141639;0,0;0,0;0,7985263157894736;0,83;83,0;83,0;17,0;17,0
11/05/2018 20.04.48;11/05/2018;output/Batch10_100_d01/DS_100_10_5.xml;2a8d9b62;10;31,961295275333214;31,586025113233486;24;100;0,0990559693500934;2;6,7;85;15;10;0,0;5283,5605847539255;4867,0;11,797875248656908;404,7627095052682;1011,9067737631722;404,76270950526884;94;0,0931126111890878;2;5,864;85;9;10;0,0;5279,5511054801555;4887,0;28,6527199396657;363,89838554049055;691,4069325269328;363,89838554049095;-0,8360000000000003;-0,12477611940298512;0,0;0,0;0,7824468085106383;0,83;83,0;83,0;17,0;17,0
