Task_id;closestDist;farestDist;avgDist;stvDist;mdnDist;timWind;srvTime;blTWB[0];blTWB[1];blTWB[2];blTWB[3];blTWB[4];blTWB[5];blTWB[6];blTWB[7];blTWB[8];blTWB[9];blTWB[10];blTWB[11];blTWB[12];blTWB[13];blTWB[14];blTWB[15];blTWB[16];blTWB[17];blTWB[18];blTWB[19];blTWB[20];blTWB[21];blTWB[22];blTWB[23];perResUnav;perResWSkills;blServiced
109;0,03;0,91;0,4;0,22;0,41;0,21;0,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0,38;0;0
110;0,01;0,83;0,32;0,2;0,29;0,27;0,21;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0,25;0
111;0,01;0,8;0,3;0,18;0,26;0,35;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
112;0,01;0,84;0,35;0,2;0,35;0,22;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0,38;0
113;0;0,8;0,31;0,19;0,27;0,27;0,21;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0,75;0
114;0,02;0,72;0,3;0,15;0,28;0,37;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
115;0,02;0,8;0,31;0,19;0,27;0,19;0,23;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0,5;0
116;0,01;0,92;0,39;0,22;0,38;0,32;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0,12;0,38;0
117;0,01;0,82;0,32;0,19;0,29;0,21;0,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0,5;0
118;0,03;0,81;0,31;0,17;0,29;0,22;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0,75;0
119;0,02;0,86;0,35;0,21;0,35;0,38;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0,38;0,5;0
120;0,02;0,78;0,3;0,17;0,25;0,26;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0,5;0
121;0,01;0,86;0,34;0,19;0,28;0,32;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0,38;0
122;0,02;0,75;0,29;0,16;0,25;0,38;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
123;0,02;0,89;0,36;0,22;0,34;0,39;0,07;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0,75;0
124;0,02;0,91;0,37;0,22;0,33;0,19;0,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0
125;0,02;0,86;0,34;0,2;0,29;0,19;0,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0,5;0
126;0,03;0,78;0,3;0,16;0,28;0,22;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0,38;0
127;0,01;0,81;0,31;0,19;0,27;0,29;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0,38;0
128;0,02;0,74;0,29;0,16;0,26;0,28;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0,25;0
129;0,03;0,7;0,27;0,14;0,27;0,3;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0,38;0
130;0,01;0,64;0,27;0,11;0,27;0,22;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0,75;1
131;0;0,8;0,3;0,19;0,27;0,41;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0,12;0,25;0
132;0,03;0,65;0,37;0,14;0,39;0,21;0,26;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1
133;0,04;0,66;0,38;0,12;0,4;0,4;0,11;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1
134;0,01;0,81;0,46;0,19;0,51;0,21;0,29;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0,75;0
135;0,03;0,67;0,37;0,15;0,4;0,18;0,28;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
136;0,02;0,73;0,42;0,17;0,47;0,27;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0,75;0
137;0,02;0,71;0,41;0,16;0,45;0,39;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0,5;0
138;0,03;0,75;0,43;0,17;0,48;0,3;0,07;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0,75;0
139;0,04;0,66;0,41;0,14;0,43;0,4;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0,38;0
140;0,02;0,87;0,35;0,21;0,32;0,27;0,2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
141;0,02;0,78;0,36;0,17;0,37;0,28;0,17;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
142;0,01;0,61;0,29;0,1;0,3;0,31;0,11;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1
143;0,02;0,85;0,41;0,19;0,42;0,21;0,29;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
144;0,01;0,61;0,3;0,1;0,3;0,23;0,15;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0,25;1
145;0,06;0,65;0,3;0,14;0,28;0,22;0,22;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0,25;0
146;0,03;0,78;0,29;0,17;0,24;0,27;0,08;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
147;0,02;0,84;0,38;0,2;0,4;0,3;0,1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0,5;0
148;0,02;0,82;0,34;0,19;0,34;0,34;0,07;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0,75;0
149;0,1;0,91;0,55;0,16;0,56;0,28;0,08;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
150;0,03;0,84;0,51;0,15;0,54;0,25;0,1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
151;0,02;0,98;0,43;0,23;0,42;0,21;0,27;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0,38;0
152;0,04;0,54;0,3;0,09;0,3;0,19;0,13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0,38;1
