numResources;numTasks;dbMaxX;dbMaxY;dbTasksDensity;numSolutionsFound;dblExecutionTime;iNumThreads;iTotServiced;iTotUnserviced;dbTraveledDistance;dbTotalCosts;dbTimeWinViolation;iNumVehiclesUsed;dbOperationTime;dbTransportTime;dbServiceTime;dbWaitingTime
4;50;500,0;500,0;2,0E-4;2;0,564;24;14;36;1194,5353113202755;5494,862432073268;0,0;4;2143,226521425966;1194,5353113202752;799,0;149,69121010569086
4;50;500,0;500,0;2,0E-4;2;0,533;24;12;38;1202,1388795562787;5770,266621870138;0,0;4;2041,8757784704617;1202,1388795562789;813,0;26,736898914182802
4;50;500,0;500,0;2,0E-4;2;0,558;24;14;36;1206,6151676401983;5550,429771144913;0,0;4;1990,7948109674467;1206,6151676401978;656,0;128,17964332724887
4;50;500,0;500,0;2,0E-4;2;0,534;24;10;40;1254,9476046371904;6274,7380231859515;0,0;4;1841,9476046371906;1254,9476046371906;587,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,527;24;13;37;1173,5131072536005;5515,511604091923;0,0;4;1945,513107253601;1173,513107253601;772,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,457;24;9;41;1323,7572749330573;6751,1621021585925;0,0;4;2089,8490472640933;1323,7572749330575;583,0;183,0917723310357
4;50;500,0;500,0;2,0E-4;2;0,616;24;14;36;1087,006251581341;5000,228757274169;0,0;4;1989,2598551682484;1087,006251581341;847,0;55,25360358690705
4;50;500,0;500,0;2,0E-4;2;0,699;24;18;32;1111,7071013487455;4669,169825664731;0,0;4;2132,8515877605514;1111,7071013487457;895,0;126,14448641180581
4;50;500,0;500,0;2,0E-4;2;0,523;24;11;39;1147,5813802442285;5623,148763196719;0,0;4;1860,5813802442283;1147,5813802442285;713,0;0,0
4;50;500,0;500,0;2,0E-4;2;0,549;24;13;37;1357,278319964947;6379,208103835252;0,0;4;2150,789718270886;1357,278319964947;661,0;132,5113983059391
4;50;500,0;500,0;2,0E-4;2;0,587;24;14;36;1238,7088984724678;5698,0609329733525;0,0;4;2009,7598970112865;1238,7088984724678;770,0;1,0509985388187033
4;50;500,0;500,0;2,0E-4;2;0,643;24;14;36;1105,4732437182583;5085,176921103988;0,0;4;1970,052907637057;1105,4732437182583;794,0;70,57966391879859
4;50;500,0;500,0;2,0E-4;2;0,561;24;14;36;1214,962088987567;5588,825609342809;0,0;4;1985,8334621784065;1214,962088987567;766,0;4,871373190839449
4;50;500,0;500,0;2,0E-4;2;0,654;24;19;31;1029,9214312932859;4222,677868302472;0,0;4;2059,1996012427153;1029,9214312932854;1014,0;15,278169949429639
4;50;500,0;500,0;2,0E-4;2;0,598;24;14;36;1255,2822143265744;5774,298185902242;0,0;4;2084,316022487768;1255,2822143265744;802,0;27,033808161193633
4;50;500,0;500,0;2,0E-4;2;0,699;24;19;31;909,6104849761089;3729,4029884020465;0,0;4;2133,4636377332586;909,6104849761089;1203,0;20,8531527571497
