strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;numTasks_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbTotalCosts_P;dbTraveledDistance_P;numTasks_PR1;dblExecutionTime_PR1;iTotServiced_PR1;iTotUnserviced_PR1;iNumVehiclesUsed_PR1;dbTimeWinViolation_PR1;dbOperationTime_PR1;dbTotalCosts_PR1;dbTraveledDistance_PR1;numTasks_PR2;dblExecutionTime_PR2;iTotServiced_PR2;iTotUnserviced_PR2;iNumVehiclesUsed_PR2;dbTimeWinViolation_PR2;dbOperationTime_PR2;dbTotalCosts_PR2;dbTraveledDistance_PR2;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbAbsExecTimeDiff_PR1;dbPerExecTimeDiff_PR1;dbAbsSrvcdTasksDiff_PR1;dbPerSrvcdTasksDiff_PR1;dbAbsExecTimeDiff_PR2;dbPerExecTimeDiff_PR2;dbAbsSrvcdTasksDiff_PR2;dbPerSrvcdTasksDiff_PR2;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
11/05/2018 19.58.44;11/05/2018;output/Batch10_100_d01/DS_100_10_37.xml;79e7e338;10;31,971187901199634;31,753923594994514;100;6,784;83;17;10;0,0;5215,069413910765;1147,6874175590615;425,0694139107635;93;5,528;84;9;10;0,0;5247,813527872212;767,2457029572014;403,81352787221124;93;5,686;81;12;10;0,0;5183,809245004009;881,7803390088196;400,8092450040089;93;5,699;81;12;10;0,0;5232,2445010320935;860,7379022706058;391,2445010320935;-1,2560000000000002;-0,1851415094339623;1,0;0,012048192771084338;-1,0979999999999999;-0,16185141509433962;-2,0;-0,024096385542168676;-1,085;-0,15993514150943397;-2,0;-0,024096385542168676;0,75926267281106;0,81;81,0;81,0;19,0;19,0
11/05/2018 19.59.08;11/05/2018;output/Batch10_100_d01/DS_100_10_38.xml;b6a1a2d2;10;31,924036935171664;31,689062633710957;100;6,717;89;11;10;0,0;5230,815131084917;803,9772558961096;382,84631233148076;97;5,949;88;9;10;0,0;5229,064139214934;762,9464134960638;401,5507439452967;97;6,198;87;10;10;0,0;5228,059393118389;790,5347592820804;395,2673796410401;97;6,035;88;9;10;0,0;5228,859338875326;731,4206642752328;384,95824435538566;-0,7679999999999998;-0,11433675748101829;-1,0;-0,011235955056179775;-0,5189999999999992;-0,0772666368914693;-2,0;-0,02247191011235955;-0,6819999999999995;-0,10153342265892505;-1,0;-0,011235955056179775;0,8807560137457044;0,9;90,0;90,0;10,0;10,0
11/05/2018 19.59.34;11/05/2018;output/Batch10_100_d01/DS_100_10_39.xml;2d99e888;10;31,971430028647166;31,776809660735374;100;6,947;81;19;10;0,0;5079,515055910017;1144,0936621390501;394,5150559100173;97;5,838;81;16;10;0,0;5078,928748634795;1072,30105982428;412,4234845478;97;6,189;81;16;10;0,0;5037,102873833138;972,667471966158;374,1028738331377;97;6,106;81;16;10;0,0;5105,87951471524;1014,148207988979;390,05700307268427;-1,109;-0,15963725349071542;0,0;0,0;-0,758;-0,10911184684036275;0,0;0,0;-0,8410000000000002;-0,121059450122355;0,0;0,0;0,7947079037800687;0,82;82,0;82,0;18,0;18,0
11/05/2018 19.59.59;11/05/2018;output/Batch10_100_d01/DS_100_10_4.xml;1c7dd28b;10;31,982639053065473;31,972268962095743;100;7,028;85;15;10;0,0;5158,526602481992;1013,6370656493082;405,45482625972323;97;6,167;86;11;10;0,0;5207,23179528251;833,9285864559038;397,1088506932875;97;6,097;85;12;10;0,0;5194,986352628303;964,3106804840058;438,323036583639;97;6,224;85;12;10;0,0;5238,559017965352;927,3794755044664;421,5361252293029;-0,8609999999999998;-0,12250996015936252;1,0;0,011764705882352941;-0,9309999999999992;-0,13247011952191223;0,0;0,0;-0,8039999999999994;-0,11439954467842905;0,0;0,0;0,7914089347079039;0,85;85,0;85,0;15,0;15,0
11/05/2018 20.00.26;11/05/2018;output/Batch10_100_d01/DS_100_10_40.xml;7cb66e85;10;31,30726713347802;31,041880769944054;100;7,18;89;11;10;0,0;5308,749736532842;857,642052743329;408,4009774968234;99;6,862;88;11;10;0,0;5258,728384215239;764,516498942703;364,05547568700143;99;6,632;89;10;10;0,0;5362,182994209119;828,9341028121343;414,4670514060671;99;6,559;89;10;10;0,0;5345,95724843163;828,4358099960052;414,2179049980026;-0,3179999999999996;-0,044289693593314715;-1,0;-0,011235955056179775;-0,548;-0,07632311977715878;0,0;0,0;-0,6209999999999996;-0,08649025069637876;0,0;0,0;0,791111111111111;0,88;88,0;88,0;12,0;12,0
11/05/2018 20.00.53;11/05/2018;output/Batch10_100_d01/DS_100_10_41.xml;5a7716ab;10;31,58468419645504;31,80585229542945;100;6,59;83;17;10;0,0;5347,3947286327675;1139,3771439190189;421,9915347848218;94;5,676;84;10;10;0,0;5385,039933282913;781,4912170506482;390,74560852532403;94;5,373;83;11;10;0,0;5362,320211479302;826,2692095926345;393,461528377445;94;5,559;83;11;10;0,0;5348,239400424296;790,1440910443614;376,2590909735054;-0,9139999999999997;-0,13869499241274655;1,0;0,012048192771084338;-1,2169999999999996;-0,1846737481031866;0,0;0,0;-1,0309999999999997;-0,1564491654021244;0,0;0,0;0,7326241134751774;0,8;80,0;80,0;20,0;20,0
11/05/2018 20.01.17;11/05/2018;output/Batch10_100_d01/DS_100_10_42.xml;4de50e95;10;31,867293555068574;31,925900237083347;100;6,871;87;13;10;0,0;5393,211247266141;874,2420416819272;380,1052355138814;97;6,231;87;10;10;0,0;5432,470892147032;752,0246551359669;376,0123275679834;97;6,298;85;12;10;0,0;5417,449081430283;855,2074111783966;388,7306414447257;97;6,229;86;11;10;0,0;5374,870537368432;911,7551290763529;434,16910908397756;-0,6400000000000006;-0,09314510260515217;0,0;0,0;-0,5730000000000004;-0,08339397467617528;-2,0;-0,022988505747126436;-0,6420000000000003;-0,09343618105079324;-1,0;-0,011494252873563218;0,9103092783505154;0,9;90,0;90,0;10,0;10,0
11/05/2018 20.01.43;11/05/2018;output/Batch10_100_d01/DS_100_10_43.xml;834d1ecc;10;31,343292476005395;31,667601699472087;100;6,766;87;13;10;0,0;5355,870789659258;988,6280831913365;429,8382970397115;98;6,572;85;13;10;0,0;5333,416574050051;918,8748513021648;399,51080491398466;98;6,388;87;11;10;0,0;5377,568740526284;981,8261206041512;467,5362479067387;98;6,191;86;12;10;0,0;5346,42304779527;894,6748213847463;406,6703733567029;-0,19399999999999995;-0,02867277564292048;-2,0;-0,022988505747126436;-0,3780000000000001;-0,05586757315991725;0,0;0,0;-0,5750000000000002;-0,08498374224061486;-1,0;-0,011494252873563218;0,8159183673469387;0,86;86,0;86,0;14,0;14,0
11/05/2018 20.02.10;11/05/2018;output/Batch10_100_d01/DS_100_10_44.xml;273b8e53;10;31,540718639167906;31,680314844160808;100;6,835;86;14;10;0,0;5267,690837287843;992,6531920918934;413,6054967049556;100;6,713;87;13;10;0,0;5284,215820150402;965,7627481150801;419,8968470065565;100;6,823;86;14;10;0,0;5294,447700539204;1039,3399858861003;433,0583274525418;100;6,624;87;13;10;0,0;5331,877779063498;1111,2552959354482;483,15447649367314;-0,12199999999999989;-0,017849305047549363;1,0;0,011627906976744186;-0,011999999999999567;-0,0017556693489392196;0,0;0,0;-0,2110000000000003;-0,03087051938551577;1,0;0,011627906976744186;0,7569;0,87;87,0;87,0;13,0;13,0
11/05/2018 20.02.37;11/05/2018;output/Batch10_100_d01/DS_100_10_45.xml;99752385;10;31,960704042448736;31,999864057034756;100;6,894;86;14;10;0,0;5201,821672159921;997,5612942721557;415,65053928006483;98;6,472;86;12;10;0,0;5216,884521330385;786,8239959790812;357,64727089958234;98;6,52;87;11;10;0,0;5302,787591746378;854,5721989053778;406,9391423358942;98;6,421;86;12;10;0,0;5257,551440295002;964,375977282278;438,35271694649003;-0,4219999999999997;-0,06121264868001156;0,0;0,0;-0,37400000000000055;-0,05425007252683501;1,0;0,011627906976744186;-0,47299999999999986;-0,0686103858427618;0,0;0,0;0,7545918367346939;0,85;85,0;85,0;15,0;15,0
