strFullTimeStamp;strTimeStampDay;strInstanceName;strHash;numResources;dbMaxX;dbMaxY;numTasks_UP;dblExecutionTime_UP;iTotServiced_UP;iTotUnserviced_UP;iNumVehiclesUsed_UP;dbTimeWinViolation_UP;dbOperationTime_UP;dbTotalCosts_UP;dbTraveledDistance_UP;numTasks_P;dblExecutionTime_P;iTotServiced_P;iTotUnserviced_P;iNumVehiclesUsed_P;dbTimeWinViolation_P;dbOperationTime_P;dbTotalCosts_P;dbTraveledDistance_P;numTasks_PR1;dblExecutionTime_PR1;iTotServiced_PR1;iTotUnserviced_PR1;iNumVehiclesUsed_PR1;dbTimeWinViolation_PR1;dbOperationTime_PR1;dbTotalCosts_PR1;dbTraveledDistance_PR1;numTasks_PR2;dblExecutionTime_PR2;iTotServiced_PR2;iTotUnserviced_PR2;iNumVehiclesUsed_PR2;dbTimeWinViolation_PR2;dbOperationTime_PR2;dbTotalCosts_PR2;dbTraveledDistance_PR2;dbAbsExecTimeDiff;dbPerExecTimeDiff;dbAbsSrvcdTasksDiff;dbPerSrvcdTasksDiff;dbAbsExecTimeDiff_PR1;dbPerExecTimeDiff_PR1;dbAbsSrvcdTasksDiff_PR1;dbPerSrvcdTasksDiff_PR1;dbAbsExecTimeDiff_PR2;dbPerExecTimeDiff_PR2;dbAbsSrvcdTasksDiff_PR2;dbPerSrvcdTasksDiff_PR2;dbPrecision;dbRecall;dbAbsCorrectlyClassified;dbPerCorrectlyClassified;dbAbsUncorrectlyClassified;dbPerUncorrectlyClassified
25/05/2018 19.10.33;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_21.xml;636523d7;10;31,919106289178146;30,875196913854612;100;6,699;84;16;10;0,0;5298,267549978846;939,2956299449995;361,2675499788459;84;4,434;84;0;10;0,0;5280,524980414552;390,524980414553;390,524980414553;84;4,656;81;3;10;0,0;5281,444724635137;449,0268001029052;345,4052308483886;84;4,691;81;3;10;0,0;5274,549856759154;410,8379459595713;316,0291891996702;-2,2649999999999997;-3381,1016569637254;0,0;0,0;-2,043;-30,497089117778774;-3,0;-3,571428571428571;-2,008;-29,974623078071357;-3,0;-3,571428571428571;0,82;0,82;82,0;8200,0;18,0;1800,0
25/05/2018 19.10.48;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_22.xml;62de4932;10;32,0;30,593481910405032;100;6,605;86;14;10;0,0;5183,058547591953;1022,5852565342211;426,07719022259215;90;4,959;86;4;10;0,0;5082,671562525111;523,2732237981463;373,76658842724737;90;5,523;83;7;10;0,0;5143,33445677983;669,9836883812984;394,1080519889991;90;5,436;84;6;10;0,0;5151,422735689636;623,0763771034201;389,4227356896376;-1,6460000000000008;-2492,0514761544296;0,0;0,0;-1,0820000000000007;-16,381529144587446;-3,0;-3,488372093023256;-1,1690000000000005;-17,698713096139297;-2,0;-2,3255813953488373;0,8911111111111112;0,9;90,0;9000,0;10,0;1000,0
25/05/2018 19.11.04;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_23.xml;56d8a777;10;32,0;32,0;100;6,958;84;16;10;0,0;5362,941365229221;963,7527591693225;370,6741381420471;90;5,269;84;6;10;0,0;5326,697261791383;574,0172521938123;358,76078262113265;90;5,484;81;9;10;0,0;5336,043531023107;707,4562782511803;372,34540960588436;90;5,716;79;11;10;0,0;5285,589568910561;699,7774184569548;333,2273421223594;-1,689;-2427,42167289451;0,0;0,0;-1,4740000000000002;-21,184248347226216;-3,0;-3,571428571428571;-1,242;-17,849956884162115;-5,0;-5,952380952380952;0,8680000000000001;0,88;88,0;8800,0;12,0;1200,0
25/05/2018 19.11.21;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_24.xml;c7007da;10;32,0;31,918559917315438;100;7,052;82;18;10;0,0;4955,76967217253;942,95508208308;336,76967217252854;94;6,118;83;11;10;0,0;4922,659809443962;688,0855998323227;327,6598094439632;94;6,077;80;14;10;0,0;4936,761798376203;748,2283161028877;311,76179837620316;94;6,081;81;13;10;0,0;4947,317395749889;786,0822369842007;341,7748856453046;-0,9339999999999993;-1324,4469653998856;1,0;121,95121951219512;-0,9749999999999996;-13,825865002836071;-2,0;-2,4390243902439024;-0,9709999999999992;-13,76914350538853;-1,0;-1,2195121951219512;0,8953191489361703;0,88;88,0;8800,0;12,0;1200,0
25/05/2018 19.11.40;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_25.xml;beccb1e2;10;32,0;32,0;100;6,963;87;13;10;0,0;5271,955873541508;733,6753192873592;318,9892692553736;97;6,278;87;10;10;0,0;5332,542824433769;651,0271113573483;325,51355567867415;97;6,51;87;10;10;0,0;5314,498642740815;669,27623472593;334,638117362965;97;6,341;86;11;10;0,0;5288,746645728266;809,7817311176364;385,6103481512554;-0,6850000000000005;-983,7713629182829;0,0;0,0;-0,4530000000000003;-6,505816458423097;0,0;0,0;-0,6219999999999999;-8,932931207812722;-1,0;-1,1494252873563218;0,8057044673539518;0,86;86,0;8600,0;14,0;1400,0
25/05/2018 19.11.59;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_26.xml;c7aeed9e;10;32,0;30,399207079838504;100;6,561;90;10;10;0,0;5391,30817883819;719,2335930611939;359,6167965305969;94;5,979;91;3;10;0,0;5373,222630596184;448,59806767719385;345,0754366747645;94;5,984;89;5;10;0,0;5374,554463630399;539,4445392627742;359,6296928418495;94;6,115;87;7;10;0,0;5363,995591264272;634,5062896765401;373,23899392737644;-0,5819999999999999;-887,0598994055783;1,0;111,11111111111111;-0,577;-8,794391098917847;-1,0;-1,1111111111111112;-0,44599999999999973;-6,797744246303913;-3,0;-3,3333333333333335;0,8829787234042553;0,9;90,0;9000,0;10,0;1000,0
25/05/2018 19.12.18;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_27.xml;45632587;10;28,36859411907364;31,51432927838089;100;7,106;85;15;10;0,0;5306,9159257207675;850,1133548510584;340,0453419404233;90;5,391;85;5;10;0,0;5179,790431939865;500,2904431839885;333,526962122659;90;5,366;85;5;10;0,0;5327,87531834995;564,3149134039039;376,2099422692693;90;5,57;82;8;10;0,0;5280,178111077518;626,0617456719594;347,81208092886635;-1,7149999999999999;-2413,45341964537;0,0;0,0;-1,7400000000000002;-24,48634956374895;0,0;0,0;-1,5359999999999996;-21,615536166619755;-3,0;-3,5294117647058822;0,855;0,87;87,0;8700,0;13,0;1300,0
25/05/2018 19.12.35;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_28.xml;ff7ee3b0;10;27,633377099559553;30,473550888656355;100;6,959;84;16;10;0,0;5236,920296812758;936,5006127350098;360,19254335961915;94;5,58;85;9;10;0,0;5316,094404176551;633,938461571073;333,6518218795121;94;5,921;84;10;10;0,0;5288,325613247884;631,8427037522397;315,9213518761198;94;5,907;83;11;10;0,0;5299,634722673595;774,3645128225387;368,74500610597084;-1,3789999999999996;-1981,6065526656125;1,0;119,04761904761905;-1,0379999999999994;-14,91593619772955;0,0;0,0;-1,0519999999999996;-15,117114527949413;-1,0;-1,1904761904761905;0,76822695035461;0,82;82,0;8200,0;18,0;1800,0
25/05/2018 19.12.52;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_29.xml;490174c8;10;30,855021016305876;27,092277970169835;100;6,844;83;17;10;0,0;5112,120255207537;883,9677546793986;327,39546469607353;96;6,105;83;13;10;0,0;5116,682107794875;713,7175947116265;310,31199770070714;96;6,216;82;14;10;0,0;5107,563344936593;786,6181318775145;327,75755494896435;96;6,299;81;15;10;0,0;5094,396321802927;773,9175459327705;309,56701837310817;-0,7389999999999999;-1079,777907656341;0,0;0,0;-0,6280000000000001;-9,175920514319111;-1,0;-1,2048192771084338;-0,5449999999999999;-7,963179427235534;-2,0;-2,4096385542168677;0,8364583333333333;0,85;85,0;8500,0;15,0;1500,0
25/05/2018 19.13.11;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_30.xml;d90b3595;10;31,613341128062725;31,05431277156794;100;6,59;88;12;10;0,0;5252,86174594908;785,0958410879765;356,8617459490802;93;5,569;88;5;10;0,0;5281,361066769861;574,7736052646906;383,1824035097937;93;5,594;87;6;10;0,0;5288,767711492754;646,0283383884087;403,7677114927554;93;5,643;86;7;10;0,0;5239,524538065676;636,3112753533383;374,300750207846;-1,021;-1549,317147192716;0,0;0,0;-0,9959999999999996;-15,113808801213954;-1,0;-1,1363636363636365;-0,9470000000000001;-14,370257966616087;-2,0;-2,272727272727273;0,7930568356374808;0,83;83,0;8300,0;17,0;1700,0
25/05/2018 19.13.29;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_31.xml;97b24cea;10;28,4213247729597;29,854729295591536;100;6,945;89;11;10;0,0;5327,842296345325;620,1122327052917;295,29153938347224;91;5,553;89;2;10;0,0;5330,464743583759;343,511616912431;286,2596807603592;91;5,386;87;4;10;0,0;5325,764864867928;430,3989074492534;307,427791035181;91;5,559;87;4;10;0,0;5357,499746034662;428,99154085250325;306,42252918035945;-1,3920000000000003;-2004,3196544276461;0,0;0,0;-1,5590000000000002;-22,447804175665947;-2,0;-2,247191011235955;-1,3860000000000001;-19,95680345572354;-2,0;-2,247191011235955;0,8924297924297925;0,9;90,0;9000,0;10,0;1000,0
25/05/2018 19.13.46;25/05/2018;output/C_Batch10_100_d01/CU8_100_10_32.xml;c344f0bc;10;27,79047566940842;28,105130168242425;100;6,825;88;12;10;0,0;5300,984045339762;701,5575564177789;318,8897983717177;89;5,076;89;0;10;0,0;5290,342498646299;296,5009802677061;296,5009802677061;89;5,015;86;3;10;0,0;5317,742372034464;431,5794917931064;331,98422445623567;89;5,079;86;3;10;0,0;5334,075916788778;445,99869182541033;343,0759167887772;-1,7490000000000006;-2562,6373626373634;1,0;113,63636363636364;-1,8100000000000005;-26,520146520146525;-2,0;-2,272727272727273;-1,7460000000000004;-25,582417582417587;-2,0;-2,272727272727273;0,8653319713993871;0,87;87,0;8700,0;13,0;1300,0
